"",""
"Action","Action"
"Add Articulo","Add Articulo"
"Add Child Articulo","Add Child Articulo"
"Add New Articulo Attribute","Add New Articulo Attribute"
"Add Root Articulo","Add Root Articulo"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while trying to delete the articulo.","An error occurred while trying to delete the articulo."
"An error occurred while updating the articulos.","An error occurred while updating the articulos."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Articulo Comment","Articulo Comment"
"Articulo Comments","Articulo Comments"
"Articulo Information","Articulo Information"
"Articulo comment","Articulo comment"
"Articulo move error","Articulo move error"
"Articulo move operation is not possible: parent articulo is equal to child articulo.","Articulo move operation is not possible: parent articulo is equal to child articulo."
"Articulo move operation is not possible: the current articulo was not found.","Articulo move operation is not possible: the current articulo was not found."
"Articulo move operation is not possible: the new parent articulo was not found.","Articulo move operation is not possible: the new parent articulo was not found."
"Articulo subtree widget","Articulo subtree widget"
"Articulo subtree","Articulo subtree"
"Articulo was saved","Articulo was saved"
"Articulo was successfully deleted.","Articulo was successfully deleted."
"Articulo was successfully saved","Articulo was successfully saved"
"Articulo","Articulo"
"Articulos","Articulos"
"Associated categories","Associated categories"
"Associated products","Associated products"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"CSV","CSV"
"Can't delete root articulo.","Can't delete root articulo."
"Change status","Change status"
"Collapse All","Collapse All"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find articulo to delete.","Could not find articulo to delete."
"Could not find comment to delete.","Could not find comment to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete Articulo Attribute","Delete Articulo Attribute"
"Delete Articulo comment","Delete Articulo comment"
"Delete Articulo","Delete Articulo"
"Delete File","Delete File"
"Delete","Delete"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Articulo '%s'","Edit Articulo '%s'"
"Edit Articulo Attribute ""%s""","Edit Articulo Attribute ""%s"""
"Edit Articulo Attribute","Edit Articulo Attribute"
"Edit Articulo comment '%s'","Edit Articulo comment '%s'"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving articulo","Error saving articulo"
"Excel","Excel"
"Expand All","Expand All"
"File","File"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Image","Image"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Manage Articulo Attributes","Manage Articulo Attributes"
"Manage Articulos","Manage Articulos"
"Manage Attributes","Manage Attributes"
"Manage Label / Options","Manage Label / Options"
"Meta description for articulos list page","Meta description for articulos list page"
"Meta information","Meta information"
"Meta keywords for articulos list page","Meta keywords for articulos list page"
"Meta title for articulos list page","Meta title for articulos list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Articulo Comments","My Articulo Comments"
"My Articulos comment view","My Articulos comment view"
